,Price(Cr)
6148,0.6
4031,0.37
1222,0.95
1783,1.35
1550,0.47
6333,0.63
696,1.45
5590,1.1
2241,1.04
3161,0.8
6017,5.7
1191,1.14
3257,1.05
1884,5.9
4162,5.5
3240,3.4
1578,5.0
3419,1.0
494,3.35
5099,9.83
2514,0.95
1496,1.7
5182,0.78
817,0.75
550,1.0
4552,0.7125
5586,0.52
2955,0.75
5106,1.5
6329,0.62
2412,2.85
4257,3.3
2765,2.2
2328,7.5
53,0.7
4454,2.45
1139,1.35
1176,1.05
3329,0.75
3213,1.22
500,0.44
1312,0.55
3121,3.15
2278,1.25
6411,5.25
2351,0.92
4008,0.55
3029,1.0
4585,1.8
594,0.85
2640,0.59
2030,1.2
4513,2.5
2300,1.35
750,0.65
5284,3.35
2359,0.8
1715,2.2
400,3.25
6157,0.45
4587,5.5
592,1.45
1747,1.35
2928,6.5
1952,0.58
3556,1.9
4426,1.81
5051,1.25
1826,1.5
2845,1.25
684,9.0
1639,14.5
2251,1.52
6161,4.8
6425,0.48
5285,3.25
2417,4.45
2786,0.68
4699,3.8
3541,2.17
559,13.0
5283,6.5
4607,0.675
3496,0.5
3229,9.0
2368,1.15
1189,1.25
2500,0.57
6156,0.57
385,19.64
189,1.3
6258,4.1
503,0.6
3492,1.17
2643,0.83
3129,0.95
6034,3.85
3224,0.65
613,0.85
1175,1.75
6143,1.15
2741,0.54
1470,1.35
2222,0.5
5614,0.47
6101,0.75
6324,1.33
3894,0.7
4188,3.6
6100,0.6
1871,0.65
1563,2.1
1349,1.2
3561,4.5
6213,4.9
4588,4.05
5943,1.55
2713,1.84
6323,2.0
2614,0.8604999999999999
1330,0.76
5859,1.6
1255,0.5
4728,0.55
4709,0.65
5573,0.92
632,2.8
67,0.7
645,0.52
2485,0.75
1080,0.8
3844,1.55
2572,1.1
1074,0.85
3751,0.64
535,3.15
2138,0.65
6237,2.35
4725,0.58
3993,3.0
3677,3.76
2174,3.2
538,2.05
5630,0.52
2072,1.6
877,5.5
2714,4.0
1713,4.0
1321,1.1
5053,1.15
1195,4.5
6457,0.75
3583,1.65
3091,6.4
6044,0.34
746,3.55
1808,1.25
2232,1.45
2005,3.35
2343,1.02
3589,0.7
5739,4.9
15,1.04
3502,0.55
1909,3.4
1294,3.45
19,1.15
875,4.25
2131,0.88
3520,0.9
181,2.25
2109,4.0
987,2.65
531,6.78
5613,3.25
4965,1.85
2771,3.8
3643,1.75
3104,1.03
4477,7.49
4553,2.1
5934,0.57
2256,0.65
5631,0.45
6391,0.62
2533,0.65
5181,0.78
6039,2.62
1568,1.25
1250,17.6
1818,1.2
3488,2.0
1256,7.4
4345,0.85
3078,2.2
4844,1.2
6438,0.88
1766,0.65
2157,1.5
2287,4.1
1540,3.5
4015,1.0
3611,1.1
5142,1.1
2882,0.9713
909,2.82
3331,1.0
3814,1.66
6436,1.6
3143,0.7
327,0.78
1653,6.24
2252,1.75
107,1.25
823,2.32
4737,4.25
4256,0.59
2101,2.02
5451,3.58
5736,1.5
373,19.64
5864,0.35
1102,0.8
6070,15.0
3707,1.2
5635,2.15
5841,3.89
2416,5.2
4362,5.75
6068,7.5
4815,1.55
2007,3.5
1109,0.71
6220,1.15
4189,1.09
1523,1.17
5134,3.6
2378,1.78
9,5.4
32,19.64
1240,9.5
4315,7.5
3681,0.75
2548,3.5
1536,3.7
6396,0.65
847,0.41
5263,3.25
113,1.78
6069,9.35
2055,0.72
5966,6.35
3857,2.0
2437,3.55
3522,1.05
2748,0.75
2635,2.3
4666,1.05
2390,0.6
33,3.9
1064,1.08
3086,1.8
108,1.3
1374,1.97
2223,3.9
223,1.7
428,0.8
1474,3.35
296,0.5595
5495,0.3989999999999999
830,2.1
480,1.1
6052,1.02
3441,10.35
3031,3.4
348,17.17
3103,1.25
5538,0.78
5938,0.6864
3976,0.95
199,23.0
5387,1.4
2043,2.5
938,0.75
4560,1.55
4605,1.2
3743,3.1
2089,1.15
4113,0.6
5029,1.9
2341,3.4
1899,3.7
3826,0.5585
3006,0.98
5455,1.47
3660,1.8
4165,3.86
311,2.0
6426,1.99
390,21.0
2555,3.35
4430,1.0
747,4.1
1130,0.92
2650,4.0
1512,0.6
2036,4.75
3816,3.25
3607,4.0
3277,1.47
697,2.6
4654,3.5
4368,0.72
440,7.5
4344,0.62
191,12.0
2865,1.3
490,0.7
796,2.81
6144,0.65
268,4.15
4643,1.9
2127,3.49
330,1.15
4463,1.15
2012,1.05
4824,4.4
1334,1.3
4170,5.5
700,1.55
532,8.35
3060,1.4
508,1.5
359,7.49
5117,0.63
422,0.65
4751,1.05
2108,0.9
3461,2.85
1961,3.5
616,1.71
1036,1.85
1219,5.93
1825,2.5
3501,1.05
3330,1.65
1350,0.55
4671,1.35
3286,0.59
407,1.5
4579,0.43
6402,3.15
2819,1.75
5324,1.15
5082,0.8088
1754,1.47
416,3.4
1789,4.0
351,3.75
5787,1.95
3793,3.45
911,4.23
5891,0.85
1208,1.3
5507,4.2
5632,1.5
5203,1.4
3136,8.15
2912,1.5
2810,4.5
1630,3.4
968,1.4
5709,9.0
1094,0.45
1217,2.0
6473,1.26
6218,1.88
474,1.5
5369,0.85
2573,2.1
1037,3.3
4580,3.35
4520,0.5
346,9.83
393,2.85
4087,1.1
155,1.25
3069,0.6
4592,3.3
5376,1.55
1827,7.5
1823,1.65
2937,1.99
2742,0.91
4060,2.85
4701,4.15
7,7.2
5261,7.0
6474,1.3
356,17.17
371,17.17
4483,3.25
361,17.17
1870,11.0
4234,0.75
2592,0.62
6227,1.14
4515,0.82
1793,2.0
2935,0.91
3352,0.55
2454,0.55
3341,2.7
3861,3.8
4987,1.53
5000,0.85
5673,0.7
1691,0.71
5560,1.7
6414,2.0
4998,0.8
418,0.85
2356,1.95
3945,1.25
3934,0.65
2631,3.3
4667,0.8844
3140,0.58
4703,2.4
4573,0.65
313,1.8
1131,0.75
3307,1.15
2948,6.75
4309,0.76
971,3.1
876,6.4
563,3.92
6067,17.0
1561,0.49
5231,5.0
475,12.5
4665,2.1
4642,1.6
1048,9.0
6241,0.8
5105,1.35
5726,1.03
50,1.05
1837,9.5
4743,3.6
4051,1.0
2718,4.73
1062,0.51
3420,1.73
2283,1.05
1633,3.4
4913,14.93
5064,8.0
2171,1.05
3521,0.9
3591,0.57
6180,6.25
3977,2.75
1880,23.0
2767,1.35
4608,0.54
4072,1.55
6005,0.88
561,0.5
3725,7.75
2002,5.25
3585,1.8
4798,0.75
2831,1.45
6049,1.08
3351,0.85
2805,0.35
2106,3.5
2655,9.37
4427,6.0
4367,1.25
1558,2.4
2558,1.2
4717,1.75
1510,0.8
3753,1.05
2962,3.67
2812,3.75
3766,0.31
5615,0.6
4626,0.35
4639,4.5
5457,1.93
5532,1.38
3431,0.4
358,19.64
3105,1.0
4123,1.1
2571,1.5
5858,0.5
299,1.5
510,2.92
3624,0.84
5441,2.54
3134,2.8
2006,3.25
5683,1.65
1469,0.95
1625,1.9
3982,0.8
3477,0.87
3142,0.7
6139,0.7
1927,2.39
4436,0.55
2505,10.0
652,0.85
173,1.56
2736,3.92
387,19.64
6271,1.45
3378,0.42
4299,0.5322
4595,3.0
6339,1.0
2000,2.1
1388,2.4
134,0.7
4202,0.75
5898,0.83
3696,2.48
639,1.35
3539,1.33
1978,2.67
3710,0.4
4011,6.5
2267,3.5
2880,1.05
2522,1.1
965,1.8
2806,1.45
5512,1.05
5230,3.1
3636,0.71
4132,3.3
430,2.75
4756,1.85
2214,7.8
3444,4.55
3702,3.55
4067,1.65
4577,0.299
4575,1.06
3423,1.45
5395,1.37
3287,0.46
2811,0.6995999999999999
2745,0.4
1866,8.2
1086,1.1
354,0.95
1821,6.5
1655,5.49
680,3.0
4048,0.45
5577,1.15
6054,6.2
4374,9.8
2291,1.3
312,1.85
3369,1.55
4637,5.5
6090,12.65
1127,1.12
164,0.38
2540,4.25
5843,1.73
4565,0.7
3788,2.0
6268,0.65
2828,3.08
739,1.85
3578,2.9
1869,16.0
2585,2.95
2908,0.85
5856,1.2
2793,1.17
1719,3.4
4263,0.6
3137,0.82
2369,3.1
462,4.3
1741,6.0
6162,4.15
3764,3.3
2342,3.9
6207,5.75
386,19.64
3282,1.04
4704,1.2
6206,7.0
2883,4.0
1997,5.4
66,6.0
1673,3.02
1143,1.55
4138,4.9
2634,1.25
5233,10.0
6076,0.8
2632,4.6
3306,3.2
595,5.5
3484,1.1
4981,0.53
1065,5.27
1352,2.45
6091,1.8
4036,0.45
2029,0.75
3955,1.15
2930,1.2
5604,1.7
2911,1.32
4596,0.65
6433,0.3
2040,3.4
104,3.05
1502,0.75
5438,2.8
1404,1.1
1785,1.85
1924,6.78
853,8.3
3529,0.95
5087,1.7
3936,0.32
6332,1.15
391,4.9
3912,8.5
4152,0.654
4236,0.772
2651,0.672
5788,1.1
3856,2.45
589,0.7
4264,0.66
5536,2.05
6476,3.0
3011,3.35
2253,1.4
2684,1.85
5372,2.0
1973,1.4
2175,0.75
4417,0.75
4327,1.55
3071,0.75
2024,1.25
2420,3.1
4614,0.6
5740,2.4
4439,7.1
3017,1.19
466,1.9
2832,2.6
4186,2.75
3144,0.55
479,1.1
2520,9.0
6159,4.05
2426,3.3
1541,1.6
1095,0.71
2518,1.48
3639,2.3
3133,3.25
3349,1.4
208,8.35
5498,0.28
3837,1.3
3380,1.38
2940,4.0
4623,0.65
6481,1.1
17,5.75
3876,1.6
5547,1.45
1084,2.95
4945,1.06
5945,6.0
1819,17.17
3870,3.22
4168,2.5
3221,0.5
5784,3.5
1211,1.6
4881,1.3
1249,7.5
576,1.09
4434,1.03
4613,0.6
2237,1.85
260,12.5
4848,0.52
2777,1.8
3162,0.5
4322,0.6
4476,9.83
1915,1.0
3767,0.525
2510,0.7
1684,3.5
2023,0.73
1258,2.1
90,0.75
2621,1.99
163,3.05
3499,1.75
3141,0.65
5815,0.82
1699,0.7
3579,2.95
2102,1.23
2896,2.96
4121,3.5
4590,3.8
991,1.85
4350,0.67
2978,1.1
1976,1.6
590,2.1
3731,8.0
3309,3.3
2405,0.66
2626,0.63
2215,0.24
6160,3.8
88,1.53
495,2.6
4842,3.25
6387,1.16
3596,1.85
3800,4.8
6363,0.45
735,13.0
4407,2.95
3838,2.1
6337,0.77
5454,1.25
2344,1.45
692,13.5
1202,5.5
1993,1.25
5500,0.65
5357,1.92
5705,14.0
2031,1.85
4147,2.5
1936,0.95
593,0.5
4683,3.55
4584,1.24
85,6.0
4154,0.4284
6393,1.05
2128,1.5
2523,0.79
5224,1.05
3966,4.05
5360,1.4
3727,3.35
6094,14.0
1140,0.7925
3063,1.45
5228,3.1
894,3.15
109,4.1
5659,1.7
1801,1.3
6331,1.5
916,2.15
172,0.56
2874,1.1
4058,4.65
1914,1.05
5662,16.99
6385,0.6
2628,0.68
6002,5.6
2438,3.25
5509,1.55
4621,0.86
4462,1.58
5321,9.0
4971,0.49
6158,5.5
3070,0.85
596,0.95
3723,1.55
4562,0.65
3132,2.1
5433,3.5
3387,8.9
3540,1.85
584,0.85
5983,0.55
2017,0.63
4375,5.7
4700,3.3
5364,8.5
417,1.1
2265,5.4
5638,1.15
4425,1.75
274,0.98
580,1.2
1689,0.7
6295,3.5
815,0.78
6142,8.5
4330,3.5
5608,4.1
36,1.05
3950,1.2
6217,0.95
4118,0.55
1864,6.0
1057,0.9
5114,0.95
3485,0.75
5574,1.06
3418,0.98
6102,2.5
2383,2.5
1466,1.0
5589,2.4
1082,2.1
5104,4.5
577,1.08
1917,1.15
2439,1.9
6432,0.55
6096,1.1
2139,4.6
3597,3.25
1975,1.29
5863,0.27
4493,2.8
565,0.8
6235,1.2
1688,3.25
3713,1.5
6087,1.1
2527,0.6
5334,5.5
1886,6.75
5240,3.3
715,2.2
4431,0.79
4633,1.02
2352,1.06
560,0.9979
2881,0.8
3802,3.4
758,2.8
3421,1.95
1129,3.4
1188,3.2
5907,0.6
1686,3.35
482,2.4
4606,0.68
789,0.65
3170,9.5
995,0.78
6154,4.9
6092,2.6
4443,1.01
5548,1.35
1607,0.9064
5616,1.08
3310,4.5
868,4.5
2444,7.1
8,13.25
458,3.99
2656,0.65
6196,1.65
3708,1.2
5605,1.76
5488,1.06
5487,2.5
4911,0.8
5857,1.2
1810,0.8
4383,0.72
4710,0.55
5453,2.62
2544,0.53
5976,6.0
4713,0.75
5682,1.28
1254,0.47
2474,0.5
5575,0.5
2720,4.73
5385,3.5
4860,1.4
3770,2.2
2411,0.7
2419,4.25
5013,2.9
5456,0.8667
5483,2.25
4698,3.8
6335,0.8
4708,0.6
5325,1.26
5278,0.75
6342,1.6
6007,1.85
3055,2.2
2463,1.6
3944,2.9
2161,4.3
2608,5.5
2246,2.85
4302,0.515
4735,0.75
4556,3.0
2044,3.2
4115,0.55
2107,13.25
4583,0.65
2869,1.35
6015,1.1
5567,0.35
1968,0.63
395,2.8
3968,1.84
2206,7.0
4730,0.65
2840,1.05
3346,0.68
5839,1.3
3446,1.2
4035,0.7
802,2.5
1644,0.6
3048,3.2
3353,7.86
1675,1.2
2925,0.8865999999999999
5995,0.6
4679,0.8245
3997,3.5
2445,0.655
6119,5.5
2361,2.6
3730,11.5
2772,0.76
2618,0.78
408,1.1
3087,0.62
1698,0.68
2004,4.0
4153,0.6912
4108,2.08
3598,0.4
2949,3.5
781,1.55
529,6.05
4074,0.49
188,1.5
3964,1.4
930,5.5
5991,0.65
1581,1.43
1166,0.8
1742,3.49
1640,14.5
2280,1.75
6008,0.8
4471,5.5
4191,1.4
5866,1.02
2465,0.35
4442,0.73
5320,1.1
2039,3.7
317,0.66
70,0.78
4551,0.8
4127,3.6
1983,2.05
1583,0.8
723,1.85
2915,3.2
849,0.49
3020,7.5
4166,4.2
3394,2.65
1376,9.0
2754,0.45
1190,1.1
3963,4.5
4812,4.1
5840,0.6435
1868,0.375
6475,1.35
3116,1.35
1099,0.71
3847,9.5
786,3.9
601,1.6
2802,2.05
1687,3.3
2683,1.14
5901,0.98
4363,1.02
2210,0.75
5497,0.25
3975,3.2
3983,4.0
5489,0.8044
4294,2.0
799,5.5
156,2.94
2944,5.5
2013,0.85
5626,1.06
5813,1.3
6392,11.84
5431,0.645
388,19.64
5309,0.55
3486,1.0
2209,0.75
5323,0.52
2945,15.39
982,0.71
69,1.4
1251,1.6
2327,0.56
1627,1.3
4962,1.25
617,0.65
3230,1.85
94,0.8
2464,0.6744
5951,3.1
4446,0.58
6040,7.0
3160,0.75
4736,3.5
6243,1.93
2199,3.3
6334,0.46
2627,0.5
3724,4.65
734,2.15
3786,0.81
2657,1.12
5900,0.93
2019,0.78
4187,2.4
1925,5.6
6225,1.18
3328,1.35
2867,1.08
1054,22.5
103,0.8
5189,3.2
1877,1.55
4557,1.65
1116,1.05
3722,2.8
4615,1.08
1620,4.05
3088,0.75
5584,1.21
5998,1.5
1439,1.45
2933,1.17
5138,0.56
502,0.7
3356,1.43
4332,1.85
5452,1.39
383,9.5
5832,4.1
1341,0.7
4673,0.7
1902,3.3
481,1.07
6435,0.5
4055,0.99
4252,1.45
4366,1.55
4931,1.95
3332,0.95
5650,0.36
4348,0.31
